format;serializer;resource id;triples count;time;memory usage
text/turtle;hardf;67345;149656;21,28;100
application/n-triples;own;67345;149656;8,13;2
application/ld+json;easyrdf;67345;149656;53,77;346
application/rdf+xml;easyrdf;67345;149656;;
text/turtle;hardf;75232;53506;7,79;39
application/n-triples;own;75232;53506;3,34;2
application/ld+json;easyrdf;75232;53506;18,5;130
application/rdf+xml;easyrdf;75232;53506;1010,63;76
text/turtle;hardf;46441;12510;1,84;8
application/n-triples;own;46441;12510;0,78;2
application/ld+json;easyrdf;46441;12510;4,25;30
application/rdf+xml;easyrdf;46441;12510;91,08;14
text/turtle;hardf;105858;4769;0,73;4
application/n-triples;own;105858;4769;0,32;2
application/ld+json;easyrdf;105858;4769;2,78;14
application/rdf+xml;easyrdf;105858;4769;10,7;6
text/turtle;hardf;66224;2888;0,43;4
application/n-triples;own;66224;2888;0,24;2
application/ld+json;easyrdf;66224;2888;4,74;8
application/rdf+xml;easyrdf;66224;2888;2,29;6
text/turtle;hardf;105024;787;0,18;2
application/n-triples;own;105024;787;0,1;2
application/ld+json;easyrdf;105024;787;0,34;4
application/rdf+xml;easyrdf;105024;787;0,78;2
text/turtle;hardf;46266;379;0,15;2
application/n-triples;own;46266;379;0,08;2
application/ld+json;easyrdf;46266;379;0,21;2
application/rdf+xml;easyrdf;46266;379;0,39;2
text/turtle;easyrdf;67345;149656;115,8;145
application/n-triples;easyrdf;67345;149656;42,5;159
text/turtle;easyrdf;75232;53506;49,35;63
application/n-triples;easyrdf;75232;53506;16,34;76
text/turtle;easyrdf;46441;12510;10,12;12
application/n-triples;easyrdf;46441;12510;3,36;20
text/turtle;easyrdf;105858;4769;3,8;6
application/n-triples;easyrdf;105858;4769;1,36;2
text/turtle;easyrdf;66224;2888;2,33;2
application/n-triples;easyrdf;66224;2888;1,26;6
text/turtle;easyrdf;105024;787;0,67;2
application/n-triples;easyrdf;105024;787;0,3;2
text/turtle;easyrdf;46266;379;0,37;2
application/n-triples;easyrdf;46266;379;0,17;2
